"id","service","cost","city","country","name","email","subscribedAtDate"
"5c720f578dcc435f","lunch-card",250,"Dresden","Germany","Tiago Jaros","Tiago24@softix.de","2019-09-01"
"5bc4812358394cb3","cafeteria.io",100,"Darmstadt","Germany","Danilo Leiter","dale@softix.com","2017-04-01"
"06028f736e3c4e9e","sport-system",150,"München","Germany","Lia Porsche","Lia_Porsche@softix.com","2019-01-01"
"058946f8f05e4e6d","cafeteria.io",100,"München","Germany","Valeria Kustermann","vaku@softix.de","2018-01-01"
"75324c77d50a49b7","healthcare",200,"Frankfurt am Main","Germany","Yannick Geyer","yage@softix.de","2018-02-01"
"5de678667e464010","lunch-card",250,"Dresden","Germany","Marlo Lewin","Marlo.Lewin@softix.de","2019-03-01"
"8c21eb3f37614541","healthcare",200,"München","Germany","Isa Hentel","ishe@softix.com","2019-06-01"
"7f477cfeccf2400b","cafeteria.io",100,"Darmstadt","Germany","Stephanie Hübl","sthü@softix.de","2019-06-01"
"0fe6c23311604dcb","lunch-card",250,"München","Germany","Caitlin Gröss","Caitlin.Grss11@softix.com","2019-05-01"
"e059d14b5a1c418c","healthcare",200,"Dresden","Germany","Jonna Poschmann","jopo@softix.com","2017-06-01"
"8183ddd5079c4db5","cafeteria.io",100,"Darmstadt","Germany","Malena Weight","mawe@softix.de","2018-02-01"
"bb65235a99df4a93","healthcare",200,"Dresden","Germany","Cem Reuss","Cem_Reuss53@softix.de","2019-01-01"
"2cb2696282f64720","sport-system",150,"Frankfurt am Main","Germany","Franziska Büker","Franziska.Bker54@softix.de","2019-05-01"
"19d2d7925e60446a","cafeteria.io",100,"München","Germany","Mohammad Bogenrieder","Mohammad47@softix.com","2018-01-01"
"66530f0265ac4142","lunch-card",250,"Darmstadt","Germany","Mailin Koster","mako@softix.com","2018-10-01"
"7ee9488cba6d4e31","sport-system",150,"Darmstadt","Germany","Martin Kappler","Martin.Kappler@softix.de","2019-09-01"
"619a3f58b2144c48","cafeteria.io",100,"München","Germany","Alessia Chapron","Alessia.Chapron71@softix.de","2018-07-01"
"12034358214644ca","healthcare",200,"Frankfurt am Main","Germany","Lee Schwerdtner","Lee12@softix.com","2019-04-01"
"412824416d9a49f2","sport-system",150,"Dresden","Germany","Karolina Lutje","kalu@softix.de","2019-08-01"
"8bf4d0453399447b","sport-system",150,"München","Germany","Hugo Kutscherauer","huku@softix.com","2015-06-01"
"c79fef89e3c84c98","healthcare",200,"Darmstadt","Germany","Jil Wierig","jiwi@softix.com","2018-10-01"
"2be9c5a7f59f49a9","healthcare",200,"Darmstadt","Germany","Elias Kwadwo","elkw@softix.de","2017-05-01"
"88b833c313c64aa6","healthcare",200,"Dresden","Germany","Collien Lufft","colu@softix.com","2019-02-01"
"6f7079cd68904696","cafeteria.io",100,"Dresden","Germany","Loris Gauder","loga@softix.de","2018-12-01"
"397f860d1e304dde","cafeteria.io",100,"Dresden","Germany","Anni Rosbach","Anni_Rosbach@softix.com","2019-07-01"
"d8973a6e0dd94dea","sport-system",150,"München","Germany","Falk Kohle","Falk38@softix.com","2019-02-01"
"071f57bbae4d4587","lunch-card",250,"Darmstadt","Germany","Maxima Knorr","Maxima.Knorr73@softix.de","2019-05-01"
"238a9c49e9b440df","healthcare",200,"Frankfurt am Main","Germany","Sabrina Kluge","sakl@softix.de","2019-05-01"
"46a26b0f35074dd3","healthcare",200,"Dresden","Germany","Tuana Gradzki","tugr@softix.de","2019-07-01"
"376448a254b5459b","healthcare",200,"Frankfurt am Main","Germany","Rafael Busemann","rabu@softix.de","2014-11-01"
"93f410bd38a143a0","cafeteria.io",100,"Darmstadt","Germany","Daniela Kral","Daniela.Kral29@softix.com","2019-07-01"
"862aaf1571cd4207","lunch-card",250,"Dresden","Germany","Tom Trampeli","totr@softix.com","2019-06-01"
"8373d4720bb947d8","healthcare",200,"Darmstadt","Germany","Frederike Riermeier","Frederike_Riermeier39@softix.com","2018-03-01"
"187decc906754bed","sport-system",150,"Dresden","Germany","Maksim Kempe","make@softix.de","2018-10-01"
"43fa8805dca248a8","lunch-card",250,"Darmstadt","Germany","Kaja Sladek","Kaja_Sladek@softix.com","2017-10-01"
"c786596a5c694e6d","healthcare",200,"Frankfurt am Main","Germany","Jonathan Morhelfer","Jonathan89@softix.com","2019-09-01"
"0a4c1ccb4ded4040","healthcare",200,"Darmstadt","Germany","Lucia Roggatz","luro@softix.de","2017-01-01"
"77cf4228e56545b7","lunch-card",250,"Darmstadt","Germany","Stephanie Hübl","sthü@softix.de","2018-12-01"
"4348fa6b90b140c8","sport-system",150,"Frankfurt am Main","Germany","Jamie Morgenstern","jamo@softix.com","2017-10-01"
"e050784d49a74280","sport-system",150,"Frankfurt am Main","Germany","Richard Kufahl","Richard0@softix.de","2016-11-01"
"ee1fd31ee0ee4b07","sport-system",150,"Dresden","Germany","Ali Lienshöft","alli@softix.de","2019-04-01"
"b05ac901083942b6","sport-system",150,"Darmstadt","Germany","Kaja Sladek","Kaja_Sladek@softix.com","2017-09-01"
"dc822db8deb14ef6","sport-system",150,"Dresden","Germany","Tiago Jaros","Tiago24@softix.de","2016-02-01"
"b11589bab1ae4470","healthcare",200,"Darmstadt","Germany","Bela Krodinger","bekr@softix.com","2018-03-01"
"2e7e6388706b465d","lunch-card",250,"München","Germany","Niels Goldkühle","Niels86@softix.de","2019-06-01"
"a1c5f27e27e84e36","sport-system",150,"Frankfurt am Main","Germany","Yannick Geyer","yage@softix.de","2019-03-01"
"eb2e67d4a20e4305","cafeteria.io",100,"Darmstadt","Germany","Jane Buder","jabu@softix.com","2018-12-01"
"ac8f006832f0427e","lunch-card",250,"Darmstadt","Germany","Nila Liebold","nili@softix.com","2019-01-01"
"94b043cf30ba4173","sport-system",150,"München","Germany","Selma Grossheim","segr@softix.de","2019-05-01"
"62adfc23c4bd46fe","cafeteria.io",100,"München","Germany","Zoey Trampeli","Zoey_Trampeli42@softix.com","2017-12-01"
"786b23dcf13e45e0","healthcare",200,"Dresden","Germany","Alia Walton","Alia26@softix.de","2017-06-01"
"7f6281112d064439","sport-system",150,"München","Germany","Isa Hentel","ishe@softix.com","2018-09-01"
"fe28d413c6bd4c03","healthcare",200,"Darmstadt","Germany","Emmely Schönherr","emsc@softix.com","2019-07-01"
"242a8528c4dd4bfd","cafeteria.io",100,"München","Germany","Isabell Tilgner","Isabell_Tilgner@softix.com","2018-11-01"
"8f2b2dc9bfab4531","lunch-card",250,"Frankfurt am Main","Germany","Richard Kufahl","Richard0@softix.de","2017-12-01"
"2c4e5c657e034abd","healthcare",200,"Darmstadt","Germany","Florentine Ahlke","flah@softix.de","2017-04-01"
"999f4642fe184aaf","cafeteria.io",100,"Frankfurt am Main","Germany","Lukas Sihler","lusi@softix.de","2018-09-01"
"a7d4f73484524393","lunch-card",250,"Darmstadt","Germany","Ylvi Reinhardt","Ylvi_Reinhardt90@softix.de","2017-10-01"
"b893e02dbf6742c3","sport-system",150,"Darmstadt","Germany","Maxima Hoffman","Maxima18@softix.com","2016-11-01"
"f1d23ff970e04272","healthcare",200,"Darmstadt","Germany","Timon Rücker","Timon84@softix.com","2016-08-01"
"82c71e449d7749de","healthcare",200,"Frankfurt am Main","Germany","Claire Knorscheidt","clkn@softix.com","2019-04-01"
"5c9af3cd9eb14fb4","healthcare",200,"Darmstadt","Germany","Irem Nannen","Irem.Nannen@softix.de","2019-09-01"
"468c21ea868948aa","healthcare",200,"Darmstadt","Germany","Nathalie Stief","Nathalie.Stief79@softix.com","2016-12-01"
"5369554dd307497a","healthcare",200,"Dresden","Germany","Dana Schnieder","dasc@softix.de","2018-04-01"
"27db848cc4c9405c","cafeteria.io",100,"Darmstadt","Germany","Liah Soboll","liso@softix.de","2018-04-01"
"c26b28da0d444eba","sport-system",150,"Darmstadt","Germany","Leticia Gratzky","legr@softix.de","2019-09-01"
"146027cc95004edd","sport-system",150,"Frankfurt am Main","Germany","Sabrina Kluge","sakl@softix.de","2019-03-01"
"37bac2f6ee024713","healthcare",200,"Dresden","Germany","Tom Trampeli","totr@softix.com","2018-06-01"
"0b8a82df57d04e74","cafeteria.io",100,"Dresden","Germany","Joel Tuschmo","Joel.Tuschmo34@softix.com","2019-08-01"
"10f9cdf9e30d48ba","sport-system",150,"Frankfurt am Main","Germany","Georg Klimczak","Georg_Klimczak89@softix.com","2019-09-01"
"c0b1fd816ebf4651","sport-system",150,"Frankfurt am Main","Germany","Yaren Sagonas","yasa@softix.com","2017-09-01"
"1b77426392c44599","lunch-card",250,"Frankfurt am Main","Germany","Jonah Wallstab","jowa@softix.com","2017-10-01"
"4dd0b2fbce7a44ed","lunch-card",250,"Darmstadt","Germany","Louise Chapron","loch@softix.de","2019-03-01"
"3bf646b1dd1e479e","cafeteria.io",100,"Frankfurt am Main","Germany","Claire Knorscheidt","clkn@softix.com","2018-12-01"
"70cc8d53c6934e70","healthcare",200,"Darmstadt","Germany","Johanna Sahner","josa@softix.com","2016-11-01"
"dd9b37e6f2f24153","lunch-card",250,"Dresden","Germany","Ecrin Neumair","ecne@softix.com","2019-01-01"
"6a90c0e3b95f448f","healthcare",200,"Dresden","Germany","Karl Hackelbusch","kaha@softix.com","2019-03-01"
"f7c1a0fb85604a5e","cafeteria.io",100,"München","Germany","Enno Wittich","Enno.Wittich@softix.de","2018-10-01"
"0ad7d282a4cc473b","lunch-card",250,"Darmstadt","Germany","Damian Illing","dail@softix.com","2019-05-01"
"07a9b9bd928b4cef","lunch-card",250,"Dresden","Germany","Leroy Sachse","lesa@softix.de","2019-09-01"
"998c6bd5cb444fdd","sport-system",150,"Dresden","Germany","Lindsay Haschke","Lindsay_Haschke@softix.com","2018-08-01"
"43cbe532e3514bf0","cafeteria.io",100,"München","Germany","Jermaine Esser","Jermaine35@softix.com","2019-06-01"
"ad0722013ed945bc","healthcare",200,"Darmstadt","Germany","Liah Soboll","liso@softix.de","2019-06-01"
"4073a561b54540ce","sport-system",150,"Dresden","Germany","Cem Reuss","Cem_Reuss53@softix.de","2014-12-01"
"5ce2c42815f34089","cafeteria.io",100,"Frankfurt am Main","Germany","Laila Peters","lape@softix.com","2016-06-01"
"2674cedb57a9480c","healthcare",200,"Frankfurt am Main","Germany","Lilith Dethloff","lide@softix.de","2017-08-01"
"9cc146a2eb5e4c0e","healthcare",200,"Dresden","Germany","Arno Wöschler","Arno_Wschler99@softix.com","2017-07-01"
"a7905cf95fde427b","cafeteria.io",100,"München","Germany","Selma Grossheim","segr@softix.de","2016-12-01"
"f6610023f80d434d","lunch-card",250,"Darmstadt","Germany","Frederike Riermeier","Frederike_Riermeier39@softix.com","2019-09-01"
"abe5c5b2d67b4ab6","sport-system",150,"Dresden","Germany","Anni Rosbach","Anni_Rosbach@softix.com","2018-12-01"
